prior disorder,later disorder,tso,failure,stderr,newf,newf_low,newf_high,model
AGO,Bipolar disorder,50,0.2242,0.00197,25.25289514,24.75889472,25.74689556,All
AGO,Bipolar disorder,1,0.0215,0.000472,2.147476266,2.054033987,2.240918544,F
AGO,Bipolar disorder,2,0.031,0.000565,3.11711752,3.00394472,3.230290321,F
AGO,Bipolar disorder,3,0.0337,0.000589,3.402941552,3.284414927,3.521468177,F
AGO,Bipolar disorder,4,0.0377,0.000623,3.815245823,3.68921814,3.941273506,F
AGO,Bipolar disorder,5,0.0459,0.000688,4.661099366,4.520646198,4.801552535,F
AGO,Bipolar disorder,6,0.0509,0.000726,5.184832961,5.03585355,5.333812373,F
AGO,Bipolar disorder,7,0.0562,0.000765,5.746973675,5.589045313,5.904902036,F
AGO,Bipolar disorder,8,0.0638,0.000819,6.551861833,6.381346373,6.722377292,F
AGO,Bipolar disorder,9,0.0721,0.000877,7.444643179,7.260447345,7.628839013,F
AGO,Bipolar disorder,10,0.0791,0.000923,8.194356524,7.999005747,8.389707301,F
AGO,Bipolar disorder,11,0.0851,0.000961,8.843134937,8.638320956,9.047948917,F
AGO,Bipolar disorder,12,0.0939,0.00102,9.811164487,9.59237317,10.0299558,F
AGO,Bipolar disorder,13,0.0956,0.00103,10.00063712,9.779098404,10.22217584,F
AGO,Bipolar disorder,14,0.1004,0.00106,10.52208893,10.29290155,10.7512763,F
AGO,Bipolar disorder,15,0.1034,0.00108,10.85672163,10.62259552,11.09084774,F
AGO,Bipolar disorder,16,0.1117,0.00113,11.78916518,11.54144716,12.03688321,F
AGO,Bipolar disorder,17,0.1227,0.00119,13.02468642,12.75911701,13.29025583,F
AGO,Bipolar disorder,19,0.126,0.00122,13.39418158,13.12293185,13.66543132,F
AGO,Bipolar disorder,20,0.1331,0.00126,14.21432739,13.93046271,14.49819207,F
AGO,Bipolar disorder,21,0.1361,0.00128,14.55544091,14.26623369,14.84464814,F
AGO,Bipolar disorder,22,0.1439,0.00133,15.46574948,15.16191581,15.76958314,F
AGO,Bipolar disorder,25,0.1489,0.00137,16.04702886,15.73289871,16.36115901,F
AGO,Bipolar disorder,26,0.1525,0.0014,16.46837295,16.14658234,16.79016356,F
AGO,Bipolar disorder,27,0.1559,0.00142,16.86386747,16.5346923,17.19304265,F
AGO,Bipolar disorder,28,0.1593,0.00145,17.27483092,16.93780177,17.61186006,F
AGO,Bipolar disorder,29,0.1641,0.00149,17.84364335,17.49555205,18.19173464,F
AGO,Bipolar disorder,35,0.169,0.00155,18.42838168,18.06490745,18.79185591,F
AGO,Bipolar disorder,36,0.1727,0.00159,18.87657847,18.50096325,19.25219369,F
AGO,Bipolar disorder,39,0.1751,0.00163,19.16428386,18.77937718,19.54919054,F
AGO,Bipolar disorder,41,0.1882,0.00182,20.75341163,20.31517606,21.19164721,F
AGO,Bipolar disorder,43,0.1933,0.0019,21.37530218,20.91501948,21.83558488,F
AGO,Bipolar disorder,50,0.213,0.00246,23.82857321,23.22100047,24.43614596,F
AGO,Bipolar disorder,1,0.0344,0.00089,3.438163134,3.260703361,3.615622906,M
AGO,Bipolar disorder,2,0.0454,0.00102,4.577706812,4.371482226,4.783931398,M
AGO,Bipolar disorder,3,0.0545,0.00111,5.534991229,5.306861396,5.763121062,M
AGO,Bipolar disorder,4,0.0627,0.00119,6.400167869,6.153351356,6.646984383,M
AGO,Bipolar disorder,5,0.0673,0.00124,6.894113507,6.636675572,7.151551442,M
AGO,Bipolar disorder,6,0.0968,0.00149,10.05327302,9.734148575,10.37239746,M
AGO,Bipolar disorder,7,0.1018,0.00153,10.60221523,10.2730589,10.93137155,M
AGO,Bipolar disorder,8,0.1037,0.00154,10.81803343,10.48490397,11.15116289,M
AGO,Bipolar disorder,9,0.1161,0.00163,12.19910595,11.84114612,12.55706577,M
AGO,Bipolar disorder,10,0.1384,0.00178,14.72731667,14.32697283,15.12766052,M
AGO,Bipolar disorder,14,0.1564,0.00191,16.80950845,16.37180738,17.24720953,M
AGO,Bipolar disorder,15,0.1745,0.00202,18.96119848,18.48616743,19.43622953,M
AGO,Bipolar disorder,16,0.1803,0.00206,19.66640482,19.17911882,20.15369082,M
AGO,Bipolar disorder,17,0.1878,0.00211,20.57789876,20.07450422,21.08129329,M
AGO,Bipolar disorder,18,0.1964,0.00216,21.64091716,21.11854506,22.16328925,M
AGO,Bipolar disorder,21,0.2047,0.00222,22.67490623,22.13274843,23.21706403,M
AGO,Bipolar disorder,26,0.2116,0.00229,23.53975626,22.97695992,24.10255259,M
AGO,Bipolar disorder,28,0.214,0.00231,23.83830828,23.26795744,24.40865912,M
AGO,Bipolar disorder,39,0.2225,0.00247,24.92302612,24.30454715,25.54150508,M
AGO,Bipolar disorder,42,0.2477,0.00302,28.1656851,27.3866304,28.94473979,M
AGO,Dysthymia,1,0.019,0.000323,1.900680615,1.836725794,1.964635436,All
AGO,Dysthymia,2,0.027,0.000385,2.720175853,2.643192375,2.797159331,All
AGO,Dysthymia,3,0.0307,0.000411,3.099818351,3.017332436,3.182304266,All
AGO,Dysthymia,4,0.032,0.000419,3.226286282,3.141985621,3.310586944,All
AGO,Dysthymia,5,0.0347,0.000438,3.506652836,3.418303488,3.595002184,All
AGO,Dysthymia,6,0.0377,0.000459,3.823481601,3.730632934,3.916330268,All
AGO,Dysthymia,7,0.0427,0.000491,4.343149791,4.243110642,4.443188941,All
AGO,Dysthymia,8,0.0449,0.000505,4.565323451,4.462223717,4.668423185,All
AGO,Dysthymia,9,0.0492,0.000533,5.014277044,4.904946524,5.123607563,All
AGO,Dysthymia,10,0.052,0.000551,5.30864172,5.195249837,5.422033602,All
AGO,Dysthymia,11,0.0548,0.000569,5.611747105,5.494191139,5.729303071,All
AGO,Dysthymia,12,0.0595,0.0006,6.110894901,5.986448619,6.235341184,All
AGO,Dysthymia,13,0.0633,0.000624,6.512962678,6.382981517,6.64294384,All
AGO,Dysthymia,14,0.0674,0.000649,6.945504289,6.809569687,7.081438891,All
AGO,Dysthymia,15,0.0708,0.000671,7.309842688,7.168903226,7.45078215,All
AGO,Dysthymia,16,0.0722,0.00068,7.467375231,7.324227977,7.610522485,All
AGO,Dysthymia,17,0.0748,0.000697,7.745165113,7.598013259,7.892316967,All
AGO,Dysthymia,18,0.081,0.000738,8.410973167,8.254145503,8.567800831,All
AGO,Dysthymia,19,0.0845,0.000762,8.799483139,8.636892508,8.96207377,All
AGO,Dysthymia,20,0.0894,0.000794,9.327377869,9.156946622,9.497809116,All
AGO,Dysthymia,21,0.0911,0.000806,9.517856633,9.344549588,9.691163677,All
AGO,Dysthymia,22,0.0939,0.000826,9.820995261,9.642948912,9.999041611,All
AGO,Dysthymia,23,0.0955,0.000837,9.997775148,9.816870178,10.17868012,All
AGO,Dysthymia,24,0.0986,0.000861,10.34061597,10.15402262,10.52720931,All
AGO,Dysthymia,25,0.0996,0.000869,10.45320061,10.26469821,10.64170301,All
AGO,Dysthymia,26,0.1045,0.000908,11.00079737,10.80268345,11.19891129,All
AGO,Dysthymia,27,0.1053,0.000914,11.08592951,10.8862602,11.28559883,All
AGO,Dysthymia,28,0.11,0.000954,11.61429159,11.404733,11.82385017,All
AGO,Dysthymia,29,0.1133,0.000982,11.98763488,11.77109483,12.20417492,All
AGO,Dysthymia,30,0.1138,0.000987,12.04612888,11.82842464,12.26383313,All
AGO,Dysthymia,31,0.1169,0.00102,12.38507887,12.16020041,12.60995732,All
AGO,Dysthymia,33,0.1183,0.00103,12.54388593,12.31538556,12.7723863,All
AGO,Dysthymia,34,0.1196,0.00105,12.69309163,12.46095085,12.92523241,All
AGO,Dysthymia,35,0.1213,0.00107,12.89390095,12.65675866,13.13104324,All
AGO,Dysthymia,36,0.1246,0.00111,13.27017292,13.02325998,13.51708585,All
AGO,Dysthymia,37,0.1264,0.00113,13.47374266,13.22113857,13.72634674,All
AGO,Dysthymia,38,0.1338,0.00123,14.32046261,14.04355322,14.59737199,All
AGO,Dysthymia,39,0.1361,0.00126,14.57811836,14.29376008,14.86247664,All
AGO,Dysthymia,40,0.1384,0.00129,14.85016876,14.55717091,15.14316661,All
AGO,Dysthymia,41,0.142,0.00134,15.2633919,14.95735782,15.56942599,All
AGO,Dysthymia,43,0.1476,0.00143,15.92294685,15.59402656,16.25186714,All
AGO,Dysthymia,53,0.1592,0.00193,17.28121109,16.83373887,17.72868331,All
AGO,Dysthymia,57,0.1805,0.00305,19.80948787,19.08606584,20.5329099,All
AGO,Dysthymia,1,0.0178,0.000377,1.779547824,1.704930441,1.854165207,F
AGO,Dysthymia,2,0.0273,0.000467,2.750982218,2.657511972,2.844452465,F
AGO,Dysthymia,3,0.0312,0.000499,3.146760582,3.046391714,3.24712945,F
AGO,Dysthymia,4,0.0324,0.00051,3.273042709,3.17050175,3.375583668,F
AGO,Dysthymia,5,0.0364,0.000542,3.680516841,3.571012817,3.790020866,F
AGO,Dysthymia,6,0.0408,0.000576,4.140893318,4.023792877,4.257993759,F
AGO,Dysthymia,7,0.0481,0.000631,4.901658966,4.772488737,5.030829195,F
AGO,Dysthymia,8,0.0501,0.000645,5.113287867,4.980796726,5.245779008,F
AGO,Dysthymia,9,0.0519,0.000659,5.307429556,5.171780563,5.443078549,F
AGO,Dysthymia,10,0.056,0.00069,5.739237871,5.596594564,5.881881178,F
AGO,Dysthymia,11,0.0602,0.000721,6.184000099,6.03427455,6.333725648,F
AGO,Dysthymia,12,0.064,0.000749,6.588544224,6.43235592,6.744732527,F
AGO,Dysthymia,13,0.0695,0.000789,7.174450585,7.008965869,7.3399353,F
AGO,Dysthymia,14,0.0754,0.00083,7.804419919,7.629082237,7.9797576,F
AGO,Dysthymia,15,0.0803,0.000864,8.333208734,8.149735937,8.516681531,F
AGO,Dysthymia,16,0.0824,0.000879,8.561893645,8.374853543,8.748933747,F
